ID,Mutation_Class,Mutant_Status,Line_Number,Mutation_Type,Test_Name
36: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1089..1101)),Killed,44,Equality mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest2
36: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1089..1101)),Killed,44,Equality mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest3
36: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1089..1101)),Killed,44,Equality mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest4
37: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1112..1194)),Ignored,45,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest1
38: Statement mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1127..1183)),Killed,46,Statement mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest1
39: String mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1155..1181)),Survived,46,String mutation,BankomatUJ.Tests.tests.AtmTest.ChangePinCardMethodIncorrectParameterTest1
40: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1340..1512)),Ignored,54,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodCorrectParameterTest
40: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1340..1512)),Ignored,54,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodIncorrectParameterTest1
40: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1340..1512)),Ignored,54,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodIncorrectParameterTest2
40: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1340..1512)),Ignored,54,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodIncorrectParameterTest3
41: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1355..1367)),Killed,55,Equality mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodCorrectParameterTest
41: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1355..1367)),Killed,55,Equality mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodIncorrectParameterTest1
41: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1355..1367)),Killed,55,Equality mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodIncorrectParameterTest2
41: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1355..1367)),Killed,55,Equality mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodIncorrectParameterTest3
42: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1378..1460)),Ignored,56,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodIncorrectParameterTest3
43: Statement mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1393..1449)),Killed,57,Statement mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodIncorrectParameterTest3
44: String mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1421..1447)),Survived,57,String mutation,BankomatUJ.Tests.tests.AtmTest.DepositFundsMethodIncorrectParameterTest3
45: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1587..1760)),Ignored,65,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodCorrectParameterTest
45: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1587..1760)),Ignored,65,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodIncorrectParameterTest1
